Name,Phone,URL,Square Feet Total,Neighborhood,Organization Type,Dominant Discipline,Year of Occupation,Rent vs Own,Age of Current Building,Length of Lease (Date), Year Organization Founded,Number of Past Facilities,Stages and Theaters,Stage & Theater Seats ,Gallery Space,Gallery Square Feet,ADA Compliant,Available Parking,Street Presence,Rental Space ,Alcohol Sales,Organization Mission,Funded by A&C,Funded by 4Culture,"Stability Index (5=very stable, 1=very uncertain)","Control Index (5=very in control, 1 = very out of control) ",Constituency over 50% one race,Specific Demographics and Community,Organization Leadership,Organization Artists,Closed Date,Closed?,Address,Location,Latitude,Longitude
Bootstrap Music,,,,,,Studios,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
Chinese Information and Service Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,611 S Lane St Seattle WA 98104,"(47.596665, -122.325649)",47.596665,-122.325649
Gallery AXIS,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,308 1st Ave S,"(47.599804, -122.333995)",47.599804,-122.333995
Interstitial,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,"6007 12th Ave South 3rd Floor Seattle, WA 98108","(47.548885, -122.317596)",47.548885,-122.317596
Miller School of Art,(206) 861-9265,www.millerschoolart.com,1738,Georgetown,N,Visual,2009,R,1929,2020,2003,1,0,0,Y,1500,,0,Y,Y,N,,N,,3,,,,,,,0,1226 S Bailey St Seattle WA 98108,"(47.5480284, -122.3164558)",47.5480284,-122.3164558
Martyr Sauce,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,102 S Jackson St,"(47.599347, -122.333666)",47.599347,-122.333666
METHOD Gallery,,www.methodgallery.com,600,Pioneer Square,y,Visual,5,Rent,100,2018,2013,,0,0,Y,600,N,,Y,No,N,"The mission of METHOD is to foster and exhibit sculpture and installation that regards process, material, and concept, while engaging the gallery space.",P,No,5,5,general,general,N/A,N/A,,,106 3rd Ave S,,,
Planet Art,(206) 782-7455,www.planetart.us,2000,Crown Hill,N,Visual,1994,O,1995,,1984,0,0,0,N,0,N,2,Y,N,N,,N,,5,,,,,,,0,2811 NW 93rd St Seattle WA 98117,"(47.69657535, -122.3933821)",47.69657535,-122.3933821
Paper Source Queen Anne,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,1908 Queen Anne Ave N Seattle WA 98109,"(47.636174, -122.356958)",47.636174,-122.356958
Phinney Books,,,,,,Literary,,,,,,,,,,,,,,,,,,,,,,,,,,0,7405 Greenwood Ave. N Seattle WA 98103,"(47.682785, -122.355621)",47.682785,-122.355621
Swedish Hospital Art Collection,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,747 Broadway Seattle WA 98122,"(47.6089681, -122.3221023)",47.6089681,-122.3221023
Traver Gallery,(206) 587-6501,www.travergallery.com,5000,Downtown,N,Visual,1992,R,,,1976,2,0,0,Y,5000,Y,0,Y,N,Y,,N,,5,,,,,,,0,110 Union St #200 Seattle WA 98101,"(47.6080964, -122.3388114)",47.6080964,-122.3388114
University of Washington Suzzallo Library,,,,,,Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,4000 15th Avenue NE Seattle WA 98105,"(47.6722229, -122.3118912)",47.6722229,-122.3118912
Vocalist Studio,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
Seattle Center-SIFF Film Center and Cinema at the Uptown,(206) 464-5830,www.siff.net,4600,Seattle Center in Uptown,Y,Cinema,2010,R,1924,2020,1973,3,4,1026,N,0,Y,0,Y,Y,N,,,,3,,,,,,,0,305 Harrison St Seattle WA 98109,"(47.62056855, -122.350491)",47.62056855,-122.350491
Avast Recording Co,(206) 633-3926,www.avastrecording.com,7500,Greenwood,N,Music,2004,O,1927,0,1989,1,0,0,N,0,Partial,5,Y,N,N,,N,,4,,,,,,,0,601 NW 80th St Seattle WA 98117,"(47.6867128, -122.3636508)",47.6867128,-122.3636508
The Hillman City Collaboratory,(206) 669-8106,www.hillmancitycollaboratory.org,9000,Hillman City,Y,Visual,2014,R,2014,2021,2013,0,1,120,Y,2000,Y,20,Y,Y,Y,,N,,4,,,,,,,,5623 Rainier Ave S Seattle WA 98118,"(47.551691, -122.278043)",47.551691,-122.278043
Seattle Center Cornish Playhouse,(206) 726-5113,www.cornish.edu/playhouse,35000,Seattle Center in Uptown,Y,Arts/Cultural Training or Education,2012,R,1961,2034,1913,3,2,628,Y,10000,Partial,0,N,Y,Y,,Y,,5,,,,,,,0,201 Mercer St Seattle WA 98109,"(47.6237608, -122.352406)",47.6237608,-122.352406
Image Journal,(206) 281-2988,www.imagejournal.org,1000,Queen Anne,Y,Visual,2001,Other,1980,,1989,2,0,0,N,,I don't know.,3,I don't know.,N,N,,N,,5,,,,,,,0,3307 3rd Ave W Seattle WA 98119,"(47.649069, -122.36089)",47.649069,-122.36089
Capitol Club,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,2013-09-14T00:00:00.000,1,414 E Pine St Seattle WA 98122,"(47.6153941, -122.3260485)",47.6153941,-122.3260485
Stone Way Cafe,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,3510 Stone Way N Seattle WA 98103,"(47.649878, -122.342711)",47.649878,-122.342711
Bill Matthews' Conga Joy,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,2220 NW Market St Seattle WA 98107,"(47.66909, -122.385796)",47.66909,-122.385796
Mossy Bottom Records,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,5049 Brooklyn Ave Seattle WA 98105,"(47.66629, -122.314484)",47.66629,-122.314484
Highway 99 Blues Club,(206) 382-2171,www.highwayninetynine.com,6000,Downtown,N,Music,2004,R,1909,2015,2001,0,1,160,Y,350,Y,0,Y,Y,Y,,N,,4,,,,,,,0,1414 Alaskan Way Seattle WA 98101,"(47.6017992, -122.3366083)",47.6017992,-122.3366083
Vito's,(206) 397-4053,www.vitosseattle.com,4000,First Hill,N,Music,2010,R,1902,2028,1953,0,0,100,N,0,Y,0,Y,N,Y,,N,,5,,,,,,,0,"927 9th Ave Seattle, WA 98104","(47.607943, -122.326933)",47.607943,-122.326933
Haller Lake Community Club,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,12579 Densmore Ave N Seattle WA 98133,"(47.721672, -122.338554)",47.721672,-122.338554
Seattle Center ArtsED WA in Seattle Center Pavillion,(206) 441-4501,www.artsedwashington.org,,Seattle Center in Uptown,Y,Arts/Cultural Training or Education,1992,R,1962,,1982,0,0,0,N,0,N,0,Y,N,N,,Y,,4,,,,,,,0,158 Thomas St Seattle WA 98109,"(47.621106, -122.3537817)",47.621106,-122.3537817
Eritrean Association in Greater Seattle,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,1528 Valentine Pl S Seattle WA 98144,"(47.58879805, -122.3070771)",47.58879805,-122.3070771
Urban Artworks in Inscape,(206) 292-4142,www.urbanartworks.org,,International District,Y,Arts/Cultural Training or Education,2012,R,1932,2017,1995,5,0,0,N,0,Y,0,N,Y,N,,Y,,4,,,,,,,0,815 Seattle Blvd S B7 Seattle WA 98134,"(47.59511695, -122.3270859)",47.59511695,-122.3270859
OK Hotel Art Gallery,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,212 Alaskan Way S,"(47.60038, -122.33515)",47.60038,-122.33515
El Corazon,(206) 262-0482,www.elcorazonseattle.com,8000,Eastlake,N,Music,2004,R,1910,2024,2004,0,0,0,N,0,,20,Y,N,Y,,N,,4,,,,,,,0,109 Eastlake Ave E Seattle WA 98109,"(47.618798, -122.3293302)",47.618798,-122.3293302
XYZ Gallery,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 S Washington St,"(47.601111, -122.329963)",47.601111,-122.329963
Zanadu Comics,(206) 443-1316,www.zanaducomics.com,2400,Downtown,N,Literary,1996,R,1930,2018,1976,2,0,,N,0,N,0,Y,N,N,,N,,3,,,,,,,0,1923 3rd Ave Seattle WA 98101-1104,"(47.6688694, -122.3126674)",47.6688694,-122.3126674
10 Degrees,,www.10degreesseattle.com,750,Capitol Hill,N,Multi-use,2011,O,1970,,2011,0,0,0,N,0,N,0,Y,Y,Y,,N,,5,,,,,,,0,1312 E Union St,"(47.612905, -122.31477)",47.612905,-122.31477
Sunset Tavern,(206) 784-4880,www.sunsettavern.com,2000,Ballard,N,Music,2000,R,1908,2020,2000,0,0,0,N,0,Y,0,Y,N,Y,,N,,5,,,,,,,0,5433 Ballard Ave NW Seattle WA 98107,"(47.6682756, -122.3860837)",47.6682756,-122.3860837
Seattle Pottery Supply,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,35 S Hanford St Seattle WA 98134,"(47.5749176, -122.3376252)",47.5749176,-122.3376252
Bass Northwest,(206) 622-2277,www.bassnw.com,2500,Pioneer Square,N,Music,1993,R,1889,2016-05-01T00:00:00.000,1993,0,0,,N,0,I don't know.,0,Y,N,N,,N,,4,,,,,,,0,119 Yesler Way Seattle WA 98104,"(47.622562, -122.321701)",47.622562,-122.321701
Museum of Flight,(206) 764-5720,www.museumofflight.org,375000,Boeing Field,Y,Heritage,2007,O,1914,,1965,1,2,349,Y,200,Y,567,Y,N,Y,,N,,5,,,,,,,0,9404 East Marginal Way S Seattle WA 98108,"(47.51842745, -122.2976981)",47.51842745,-122.2976981
Hollow Earth Radio,(206) 588-5437,www.hollowearthradio.org,1000,Central District,Y,Music,2010,R,1900,2016,2006,0,0,0,Y,25,N,0,Y,N,N,,Y,,3,,,,,,,0,2018 A E. Union St Seattle WA 98122,"(47.6129184, -122.316028)",47.6129184,-122.316028
L x W x H,(206) 697-5156,www.lengthbywidthbyheight.com,404,Georgetown,N,Visual,2012,R,1907,2014,2010,0,0,0,Y,404,N,0,Y,N,N,,N,,5,,,,,,,0,6007 12th Ave S Seattle WA 98108,"(47.5488654, -122.3174654)",47.5488654,-122.3174654
Columbia City Theater,(206) 551-9847,http://www.columbiacitytheater.com/,10000,Columbia City,Y,Multi-use,2015,R,1917,0,2005,0,2,480,Y,1000,N,,Y,Yes,Y,"We are a performing arts theater dedicated to presenting music, drama, comedy, dance, film and a meeting place to serve the diversity of Columbia City and the entire of Seattle.",N,,2,3,General,General,N/A,N/A,,,4916 Rainier Ave S,"(47.557316, -122.284462)",47.557316,-122.284462
