id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1591,Garden Suite-King-Ensuite,1748,Jeff,Victoria,Rockland,48.42128,-123.33932,Private room,190,1,1,2021-09-13,1,8,178,1,
19898,Duchess Suite,69729,Ryan,Victoria,Rockland,48.42515,-123.33977,Private room,279,2,0,,,1,0,0,
41168,"Burma Suite, Ocean Island Garden Suites",173169,Ocean Island Garden Suites,Victoria,James Bay,48.41333,-123.37065,Entire home/apt,127,1,41,2017-07-04,0.46,4,1,21,
47421,Downtown by the Park,214666,Jenny,Victoria,Downtown,48.42106,-123.3634,Entire home/apt,100,4,59,2019-08-06,0.44,1,293,1,
54423,"Perfect Downtown Condo, free secure onsite Parking",254653,Pawlina And Martin,Victoria,Downtown,48.42151,-123.36383,Entire home/apt,92,30,62,2019-09-30,1.25,1,74,3,
116831,Harbor View Studio in Restored Heritage Building,590251,Agi & Marco,Victoria,Downtown,48.42852,-123.36961,Entire home/apt,109,1,414,2021-09-25,8.51,1,269,64,
185732,Romantic 2 bedroom private suite,880366,Peter,Highlands,Highlands,48.50617,-123.46399,Private room,199,1,52,2019-09-22,1.31,3,333,0,
193366,Tudor Cottage,937766,Sandra,Victoria,Rockland,48.42574,-123.3376,Entire home/apt,110,27,149,2020-11-13,1.48,1,110,6,
201427,Economical forest mountain getaway,880366,Peter,Highlands,Highlands,48.50467,-123.4625,Private room,69,1,52,2019-08-14,0.82,3,303,0,
201441,Deluxe quiet romantic escape,880366,Peter,Highlands,Highlands,48.50644,-123.46423,Private room,139,1,12,2018-09-23,0.16,3,333,0,
203416,Galiano Island Eagles Nest Retreat Cabin - Private,997424,Line Marie,Southern Gulf Islands,Southern Gulf Islands,48.86711,-123.35027,Entire home/apt,135,3,363,2019-12-26,4.16,2,7,33,
226028,Victoria LEED Home (upper floor),1178351,Allison,Victoria,Fernwood,48.42882,-123.35055,Entire home/apt,200,28,252,2019-08-25,3.99,2,238,5,
226030,LEED Home (main floor),1178351,Allison,Victoria,Fernwood,48.42684,-123.35082,Entire home/apt,282,13,8,2018-07-09,0.11,2,90,0,
239129,Executive inner city loft condo.,1208031,Haydee And Owen,Victoria,Downtown,48.42967,-123.36237,Entire home/apt,107,28,7,2017-07-01,0.07,1,59,0,
330706,Sunset Suite★Heart of Downtown Sleeps 6 W/Parking,21376528,Coast & Host,Victoria,Downtown,48.42749,-123.36361,Entire home/apt,226,1,211,2021-09-21,5.71,5,230,40,
348606,Enjoy Pacific sunsets on the bay,1757713,Valerie,Victoria,Gonzales,48.40891,-123.33573,Entire home/apt,150,30,80,2020-01-20,0.81,1,110,2,
394086,A Great Hotel Alternative,1923756,Bobbie,Victoria,North Jubilee,48.4317,-123.32508,Private room,110,30,125,2019-07-07,1.45,2,303,1,
401073,Oceanside James Bay Heritage Suite #5,2001974,Martin,Victoria,James Bay,48.41107,-123.37675,Entire home/apt,93,28,15,2019-10-31,0.24,17,127,3,
405558,James Bay Menzies-Dallas Oceanside Suite #2,2001974,Martin,Victoria,James Bay,48.41263,-123.37702,Entire home/apt,75,28,24,2019-12-30,0.21,17,154,1,
410541,Brand New Suite with 10FT Ceilings Suite #3,2001974,Martin,Victoria,Fernwood,48.42611,-123.34047,Entire home/apt,76,28,21,2017-09-16,0.19,17,218,1,
410542,Rockland 1 Bedroom Suite Near Downtown,2001974,Martin,Victoria,Rockland,48.4249,-123.33928,Entire home/apt,68,28,14,2018-07-29,0.12,17,184,1,
416786,Renovated Townhouse Near Downtown,2001974,Martin,Victoria,Fernwood,48.42641,-123.34648,Entire home/apt,104,28,18,2020-12-31,0.16,17,182,4,
417778,A GREAT ALTERNATIVE TO A HOTEL,1923756,Bobbie,Victoria,North Jubilee,48.43183,-123.32669,Private room,120,30,90,2019-08-19,1.79,2,364,0,
455929,"Victoria Garden Estate, pool/hotub/staycation spot",2266499,Anna,North Saanich,North Saanich,48.67278,-123.46604,Entire home/apt,843,2,14,2021-09-12,0.27,1,279,4,
461498,Suite in Restored Heritage Property Suite #5,2001974,Martin,Victoria,Rockland,48.42416,-123.34062,Entire home/apt,69,28,25,2018-07-31,1.50,17,154,2,
461499,Large 2 Bedroom Suite Near Downtown Suite #8,2001974,Martin,Victoria,Fernwood,48.42598,-123.33982,Entire home/apt,105,28,32,2020-03-14,0.70,17,180,0,
463027,Oceanside Suite in James Bay #3,2001974,Martin,Victoria,James Bay,48.41292,-123.37774,Entire home/apt,74,28,22,2021-03-01,0.64,17,182,3,
472025,Bloom Organic B&B - Orchard Suite,2230573,Anna,Salt Spring Island,Salt Spring Island,48.9273,-123.57431,Private room,196,2,28,2017-06-03,0.33,1,346,5,
479450,"Beautiful, bright, great walks plus",2375062,John,Victoria,Oaklands,48.43936,-123.34842,Entire home/apt,135,28,60,2017-11-27,0.68,5,240,3,
514811,Waterfront walks & welcome foodies!,393956,Rhona,Saanich,Saanich,48.45215,-123.41781,Entire home/apt,81,2,202,2020-06-28,2.34,1,247,4,
515418,Brand New Luxury Renovation #1,2001974,Martin,Victoria,Fernwood,48.42619,-123.33986,Entire home/apt,93,28,10,2017-06-11,0.09,17,92,0,
528492,Victoria Harbour Penthouse @ Mermaid Wharf,2596667,Teresa,Victoria,Downtown,48.43019,-123.36862,Entire home/apt,185,3,16,2019-11-17,0.16,1,122,1,
555737,Charming Suite #1 in Fernwood,2733135,Leonard And Valerie,Victoria,Fernwood,48.43492,-123.34064,Entire home/apt,99,30,113,2021-07-17,1.79,3,179,7,
559726,High End Renovation Near Downtown #2,2001974,Martin,Victoria,Fernwood,48.42624,-123.34019,Entire home/apt,67,28,20,2016-07-19,0.28,17,273,1,
561477,Cabin at Swallow's Keep,2760576,Marcia,Southern Gulf Islands,Southern Gulf Islands,48.99371,-123.57915,Entire home/apt,150,2,344,2019-09-21,3.23,1,106,62,
571258,MEMORY LANE - ENTIRE PRIVATE APARTMENT,2811302,Sharon,Sooke,Sooke,48.38672,-123.72408,Entire home/apt,131,2,109,2019-07-24,0.99,1,308,20,
644821,Colorful and Arty Home,3227731,Ed,Saanich,Saanich,48.46888,-123.39617,Private room,59,1,54,2020-06-10,0.87,2,29,0,
660733,Large Renovated 2 Bedroom Suite  Near Downtown #4,2001974,Martin,Victoria,Fernwood,48.4259,-123.34022,Entire home/apt,97,28,19,2018-08-20,0.17,17,91,0,
666592,Renovated Studio Across From Ocean #6,2001974,Martin,Victoria,James Bay,48.41174,-123.37641,Entire home/apt,74,28,13,2017-09-04,0.25,17,153,0,
668372,Tidal Waters Guest Suite,3383275,Alyssa,View Royal,View Royal,48.45848,-123.42771,Entire home/apt,113,3,110,2018-11-25,1.76,1,34,15,
687407,Pender Island Oceanfront Cottage #2,3500087,Paul,Southern Gulf Islands,Southern Gulf Islands,48.7978,-123.30928,Entire home/apt,125,2,32,2018-08-16,0.33,1,24,7,
734855,Beautiful Family Character Home,3752740,Josie,Oak Bay,Oak Bay,48.42031,-123.31057,Entire home/apt,380,5,16,2019-12-29,0.16,1,0,1,
739975,"Cordova Bay Beach Suite, Oceanfront",3872067,Pam,Saanich,Saanich,48.51641,-123.36713,Entire home/apt,131,2,243,2019-09-18,2.40,1,1,3,
765246,Lakeside Cottage,4034527,Jack,Salt Spring Island,Salt Spring Island,48.81277,-123.46623,Entire home/apt,200,3,39,2017-04-14,0.41,1,272,0,
773339,"Condo Close to Beach, Golf & RRU",4080829,Rob & Angelika,Colwood,Colwood,48.40638,-123.50954,Entire home/apt,121,4,35,2021-08-20,0.56,3,323,9,
775220,Seastar Charming west coast escape.,4089253,Corinne,Juan de Fuca,Juan de Fuca,48.38136,-123.89777,Entire home/apt,454,2,221,2021-09-16,2.98,1,241,28,
775418,Modern unit 10 minutes from downtown.,3988784,Firat,Esquimalt,Esquimalt,48.43236,-123.4141,Entire home/apt,88,28,46,2020-01-06,1.25,1,176,0,
784093,"Carriage House B&B - ""The Sun Room""",4134834,Dan & Naoko,Victoria,James Bay,48.4151,-123.36835,Private room,89,3,185,2019-10-05,2.15,3,240,0,
796027,"Lovely, Private Character Cottage",51269257,Chris,Saanich,Saanich,48.45587,-123.38733,Entire home/apt,95,6,21,2019-07-01,0.22,1,0,0,
811395,"Bright, Family Friendly home close to Down Town",1355904,Laurel,Saanich,Saanich,48.47011,-123.40666,Entire home/apt,275,5,28,2018-08-15,0.28,1,27,2,
823111,Ocean view suite close to Royal Road's University,4321402,Gerri,Colwood,Colwood,48.41901,-123.48414,Entire home/apt,90,4,175,2019-09-05,1.77,1,219,0,
863030,Captain's Quarters Cottage,4524615,Razali,Salt Spring Island,Salt Spring Island,48.76368,-123.45681,Entire home/apt,162,2,42,2019-06-26,0.66,1,0,6,
873616,Salish Sea Beach House,4589787,Shelley,Sidney,Sidney,48.63568,-123.40512,Entire home/apt,189,2,28,2018-08-17,0.72,1,272,0,
876406,Charming Sunny  Private Bungalow,4628474,Trish,Victoria,James Bay,48.4145,-123.37753,Entire home/apt,155,14,77,2021-06-30,1.26,1,110,3,
910427,Cedar Log Home Galiano Island,4883986,Robbie,Southern Gulf Islands,Southern Gulf Islands,48.88462,-123.33135,Entire home/apt,110,1,273,2020-09-28,6.51,1,322,68,
920656,Studio Cottage  @ French Beach.   No Cleaning Fee.,4948373,Ava & Marty,Juan de Fuca,Juan de Fuca,48.39447,-123.98135,Entire home/apt,119,1,517,2021-09-22,6.92,2,250,119,
936367,Cook St Village Suite,3967984,Nicole & Gilles,Victoria,Fairfield,48.41385,-123.34948,Entire home/apt,79,29,356,2019-12-27,4.01,1,131,1,
939467,Eagles Nest Oceanfront Galiano West Coast Home,997424,Line Marie,Southern Gulf Islands,Southern Gulf Islands,48.86649,-123.3509,Entire home/apt,350,3,27,2016-09-03,0.26,2,13,3,
955575,Galiano Cabin Hideaway,5111791,Helen,Southern Gulf Islands,Southern Gulf Islands,48.89011,-123.36244,Entire home/apt,195,2,219,2020-07-16,2.51,1,258,33,
973849,Renovated Suite in Rockland Area #7,2001974,Martin,Victoria,Fernwood,48.42535,-123.34216,Entire home/apt,78,28,5,2021-08-31,0.06,17,159,1,
985260,"Beachwood Cottage, quiet waterfront",5685155,Jeannie,Metchosin,Metchosin,48.39644,-123.49343,Entire home/apt,180,7,11,2017-06-14,0.12,1,179,0,
1015996,Character Oak Bay Home by the Sea,5326675,Sally,Oak Bay,Oak Bay,48.42141,-123.31723,Entire home/apt,509,3,37,2017-07-24,0.38,1,339,1,
1024578,2BR beautiful house book,1485479,Sherry,Saanich,Saanich,48.46382,-123.35931,Entire home/apt,91,3,59,2019-08-26,0.67,1,169,2,
1038822,Dallas Rd & Menzies James Bay Suite #1,2001974,Martin,Victoria,James Bay,48.41176,-123.37663,Entire home/apt,75,28,21,2020-10-05,0.21,17,135,1,
1055500,Carriage House B&B - Cottage,4134834,Dan & Naoko,Victoria,James Bay,48.41495,-123.36851,Private room,147,2,224,2021-09-15,2.61,3,258,23,
1079545,Sweet carriage house with private deck in Fernwood,5937743,Maggi,Victoria,Fernwood,48.43063,-123.3391,Entire home/apt,121,4,43,2021-09-10,0.42,1,125,9,
1080149,Foxglove Farm Classic Cottage B&B,5936608,Jeanne Marie,Salt Spring Island,Salt Spring Island,48.82409,-123.53024,Entire home/apt,275,3,64,2019-08-29,2.43,3,327,10,
1080266,Foxglove Farm Heritage Farmhouse B&B,5936608,Jeanne Marie,Salt Spring Island,Salt Spring Island,48.82412,-123.53071,Entire home/apt,295,3,54,2021-04-04,0.53,3,349,4,
1080594,Carriage House B&B - Carriage Room,4134834,Dan & Naoko,Victoria,James Bay,48.4165,-123.37011,Private room,100,2,205,2020-01-02,2.67,3,252,26,
1091391,Cute & Cozy 1bdr Condo in James bay,2989557,Sylvie,Victoria,James Bay,48.41973,-123.37587,Entire home/apt,72,28,30,2018-10-05,0.30,1,88,2,
1114544,Salt Spring Carriage House - The Loft,6116904,Sue,Salt Spring Island,Salt Spring Island,48.89496,-123.53323,Private room,190,2,19,2019-08-23,0.19,2,121,1,
1114575,Salt Spring Carriage House - Garden Room,6116904,Sue,Salt Spring Island,Salt Spring Island,48.89505,-123.53392,Private room,190,2,36,2021-09-06,0.70,2,129,5,
1156460,Stunning 3BD vacation retreat!,3687551,Rita,Oak Bay,Oak Bay,48.40879,-123.32144,Entire home/apt,347,3,19,2018-08-14,0.50,1,0,0,
1186607,Inlet Beach House Oceanfront Vacation Suite,6487007,Linda And Ken,North Saanich,North Saanich,48.67691,-123.48379,Entire home/apt,230,1,19,2019-06-14,0.21,1,0,1,
1194888,Small Double Room with Sink,6225439,Ocean Island Inn,Victoria,Downtown,48.42778,-123.36183,Private room,94,1,47,2018-05-27,0.92,8,33,13,
1244138,Private room in Central apartment.,6781810,Jocelyn,Saanich,Saanich,48.45099,-123.36285,Private room,56,1,119,2019-09-26,2.33,1,172,14,
