neighbourhood_group,neighbourhood
Central Saanich,Central Saanich
Colwood,Colwood
Esquimalt,Esquimalt
Highlands,Highlands
Juan de Fuca,Juan de Fuca
Langford,Langford
Metchosin,Metchosin
North Saanich,North Saanich
Oak Bay,Oak Bay
Saanich,Saanich
Salt Spring Island,Salt Spring Island
Sidney,Sidney
Sooke,Sooke
Southern Gulf Islands,Southern Gulf Islands
Victoria,Burnside
Victoria,Downtown
Victoria,Fairfield
Victoria,Fernwood
Victoria,Gonzales
Victoria,Harris Green
Victoria,Hillside/Quadra
Victoria,James Bay
Victoria,North Jubilee
Victoria,North Park
Victoria,Oaklands
Victoria,Rockland
Victoria,South Jubilee
Victoria,Victoria West
View Royal,View Royal
